type,fixed acidity,citric acid,residual sugar,free sulfur dioxide,total sulfur dioxide,density,volatile acidity,chlorides,sulphates,pH,alcohol,quality_label
white,6.4,0.47,1.6,40.0,158.0,0.9928,0.13,0.092,0.36,3.21,9.8,1
white,6.7,0.36,1.1,63.0,143.0,0.9912,0.19,0.026,0.48,3.27,11.0,1
white,7.4,0.23,7.0,29.0,126.0,0.994,0.39,0.033,0.42,3.14,10.5,0
white,6.5,0.32,7.6,48.0,203.0,0.9958,0.24,0.038,0.54,3.45,9.7,1
white,6.1,0.56,2.8,47.0,179.0,0.9924,0.3,0.044,0.57,3.3,10.9,1
white,6.1,0.56,2.7,46.0,184.0,0.9924,0.3,0.046,0.57,3.31,10.9,1
white,5.7,0.25,10.4,7.0,57.0,0.994,0.26,0.02,0.37,3.39,10.6,0
white,6.5,0.32,7.6,48.0,203.0,0.9958,0.24,0.038,0.54,3.45,9.7,1
white,6.5,0.4,13.1,59.0,241.0,0.9979,0.425,0.038,0.57,3.23,9.0,0
white,6.6,0.27,15.8,46.0,188.0,0.9982,0.24,0.035,0.51,3.24,9.2,0
white,6.8,0.22,8.1,55.0,203.0,0.9961,0.27,0.034,0.52,3.19,8.9,0
white,6.7,0.31,15.7,44.0,179.0,0.9979,0.27,0.036,0.56,3.26,9.6,0
white,8.2,0.4,1.2,36.0,121.0,0.992,0.23,0.027,0.38,3.12,10.7,1
white,7.1,0.67,10.5,49.0,155.0,0.9975,0.37,0.045,0.44,3.16,8.7,0
white,6.8,0.36,1.9,30.0,96.0,0.9917,0.19,0.035,0.54,3.15,10.8,1
white,6.3,0.34,2.2,20.0,77.0,0.9927,0.31,0.045,0.43,3.3,10.2,0
white,7.1,0.67,10.5,49.0,155.0,0.9975,0.37,0.045,0.44,3.16,8.7,0
white,7.9,0.4,1.2,38.0,107.0,0.992,0.21,0.039,0.54,3.21,10.8,1
white,8.5,0.41,4.3,24.0,99.0,0.9947,0.21,0.036,0.53,3.18,9.7,1
white,8.1,0.4,2.0,19.0,87.0,0.9921,0.2,0.037,0.54,3.12,11.2,1
white,6.3,0.37,1.1,37.0,114.0,0.9905,0.255,0.04,0.39,3.0,10.9,1
white,5.6,0.27,1.4,53.0,168.0,0.9918,0.16,0.044,0.37,3.28,10.1,1
white,6.4,0.14,5.2,15.0,97.0,0.9951,0.595,0.058,0.36,3.38,9.0,0
white,6.3,0.33,4.6,19.0,80.0,0.9917,0.34,0.034,0.58,3.38,12.0,1
white,6.9,0.3,4.1,23.0,116.0,0.994,0.25,0.054,0.38,2.99,9.4,1
white,7.9,0.38,8.0,46.0,152.0,0.9934,0.22,0.043,0.32,3.12,11.5,1
white,7.6,0.46,10.2,58.0,135.0,0.9968,0.18,0.055,0.43,3.14,9.9,1
white,6.9,0.3,4.1,23.0,116.0,0.994,0.25,0.054,0.38,2.99,9.4,1
white,7.2,0.41,1.2,41.0,97.0,0.9919,0.18,0.048,0.45,3.14,10.4,0
white,8.2,0.4,7.5,12.0,76.0,0.9966,0.23,0.049,0.84,3.06,9.7,1
white,7.4,0.42,14.0,48.0,198.0,0.9979,0.24,0.066,0.42,2.89,8.9,1
white,7.4,0.42,14.0,48.0,198.0,0.9979,0.24,0.066,0.42,2.89,8.9,1
white,6.1,0.24,1.5,38.0,124.0,0.9898,0.32,0.036,0.42,3.29,12.4,1
white,5.2,0.04,1.4,43.0,119.0,0.9894,0.44,0.036,0.33,3.36,12.1,2
white,5.2,0.04,1.4,43.0,119.0,0.9894,0.44,0.036,0.33,3.36,12.1,2
white,6.1,0.24,1.5,38.0,124.0,0.9898,0.32,0.036,0.42,3.29,12.4,1
white,6.4,0.56,14.5,27.0,159.0,0.998,0.22,0.055,0.4,2.98,9.1,0
white,6.3,0.3,4.8,14.0,85.0,0.9932,0.36,0.049,0.39,3.28,10.6,0
white,7.4,0.42,14.0,48.0,198.0,0.9979,0.24,0.066,0.42,2.89,8.9,1
white,6.7,0.35,13.1,64.0,205.0,0.997,0.24,0.05,0.5,3.15,9.5,0
white,7.0,0.36,13.0,72.0,177.0,0.9972,0.23,0.051,0.49,3.16,9.8,0
white,8.4,0.46,8.7,39.0,197.0,0.9974,0.27,0.048,0.59,3.14,9.6,1
white,6.7,0.18,2.4,25.0,98.0,0.9896,0.46,0.034,0.44,3.08,12.6,1
white,7.5,0.31,8.95,20.0,151.0,0.9968,0.29,0.055,0.54,3.08,9.3,0
white,9.8,0.48,9.85,5.0,110.0,0.9958,0.42,0.034,0.29,2.87,10.0,0
white,7.1,0.46,1.5,29.0,133.0,0.9906,0.3,0.066,0.54,3.12,12.7,1
white,7.9,0.45,1.5,17.0,96.0,0.9917,0.19,0.045,0.39,3.13,11.0,1
white,7.6,0.37,0.8,4.0,100.0,0.9902,0.48,0.037,0.39,3.03,11.4,0
white,6.3,0.43,4.55,31.0,130.0,0.9918,0.22,0.038,0.33,3.35,11.5,1
white,6.9,0.4,7.5,50.0,151.0,0.9927,0.23,0.04,0.27,3.11,11.4,1
white,7.2,0.47,5.1,19.0,65.0,0.991,0.32,0.044,0.41,3.03,12.6,0
white,5.9,0.3,12.9,57.0,170.0,0.9972,0.23,0.054,0.39,3.28,9.4,0
white,6.0,0.07,1.2,9.0,108.0,0.9931,0.67,0.06,0.35,3.11,8.7,0
white,6.4,0.32,5.5,41.0,176.0,0.995,0.25,0.049,0.68,3.19,9.2,1
white,6.4,0.31,5.5,42.0,173.0,0.9951,0.33,0.048,0.66,3.19,9.3,1
white,7.1,0.15,1.2,61.0,183.0,0.9936,0.34,0.053,0.43,3.09,9.2,0
white,6.8,0.4,22.0,48.0,167.0,1.001,0.28,0.048,0.5,2.93,8.7,0
white,6.9,0.4,14.0,64.0,227.0,0.9979,0.27,0.05,0.58,3.18,9.6,1
white,6.8,0.56,11.9,64.0,226.0,0.997,0.26,0.043,0.63,3.02,9.3,0
white,6.8,0.56,11.9,66.0,230.0,0.9972,0.29,0.043,0.63,3.02,9.3,0
white,6.7,0.41,9.4,49.0,166.0,0.9954,0.24,0.04,0.61,3.12,9.9,1
white,5.9,0.23,4.2,42.0,119.0,0.9924,0.3,0.038,0.5,3.15,11.0,0
white,6.8,0.35,3.8,26.0,109.0,0.9906,0.53,0.034,0.57,3.26,12.7,2
white,6.5,0.28,8.5,54.0,210.0,0.9962,0.28,0.047,0.54,3.09,8.9,0
white,6.6,0.28,8.5,55.0,211.0,0.9962,0.28,0.052,0.55,3.09,8.9,1
white,6.8,0.4,22.0,48.0,167.0,1.001,0.28,0.048,0.5,2.93,8.7,0
white,6.8,0.36,8.0,28.0,123.0,0.9928,0.28,0.045,0.37,3.02,11.4,1
white,6.6,0.34,5.1,34.0,125.0,0.9942,0.15,0.055,0.42,3.36,9.6,0
white,6.4,0.44,3.6,75.0,181.0,0.9942,0.29,0.2,0.41,3.02,9.1,0
white,6.4,0.45,3.5,76.0,180.0,0.9942,0.3,0.197,0.39,3.02,9.1,1
white,6.4,0.44,3.6,75.0,183.0,0.9942,0.29,0.197,0.38,3.01,9.1,0
white,6.8,0.24,7.8,54.0,214.0,0.9961,0.26,0.052,0.47,3.13,8.9,0
white,7.1,0.24,13.1,52.0,204.0,0.998,0.32,0.05,0.49,3.1,8.8,0
white,6.8,0.24,7.8,54.0,214.0,0.9961,0.26,0.052,0.47,3.13,8.9,0
white,6.8,0.26,16.1,55.0,196.0,0.9984,0.27,0.049,0.5,3.15,9.3,0
white,7.1,0.24,13.1,52.0,204.0,0.998,0.32,0.05,0.49,3.1,8.8,0
white,6.9,0.32,13.2,53.0,236.0,0.9973,0.54,0.05,0.5,3.2,9.6,0
white,6.8,0.34,13.9,39.0,134.0,0.9949,0.26,0.034,0.53,3.33,12.0,1
white,5.8,0.35,2.3,36.0,114.0,0.9924,0.28,0.053,0.5,3.28,10.2,0
white,6.4,0.5,11.6,45.0,153.0,0.9972,0.21,0.042,0.43,3.15,8.8,0
white,7.0,0.32,8.3,38.0,126.0,0.9958,0.16,0.045,0.34,3.21,9.2,0
white,6.8,0.29,2.2,15.0,77.0,0.9938,0.57,0.04,0.74,3.32,10.2,0
white,6.1,0.31,0.9,23.0,170.0,0.993,0.4,0.048,0.77,3.22,9.5,1
white,5.6,0.25,9.7,12.0,68.0,0.994,0.245,0.032,0.34,3.31,10.5,0
white,6.8,0.38,1.4,35.0,111.0,0.9918,0.18,0.038,0.59,3.32,11.2,1
white,7.0,0.32,8.3,38.0,126.0,0.9958,0.16,0.045,0.34,3.21,9.2,0
white,6.7,0.29,5.3,31.0,122.0,0.9944,0.13,0.051,0.37,3.44,9.7,1
white,6.2,0.25,1.4,35.0,105.0,0.9912,0.25,0.03,0.44,3.3,11.1,1
white,5.8,0.24,9.2,55.0,152.0,0.9961,0.26,0.044,0.38,3.31,9.4,0
white,7.5,0.36,7.0,45.0,164.0,0.9939,0.27,0.036,0.33,3.03,11.0,0
white,5.8,0.24,9.2,55.0,152.0,0.9961,0.26,0.044,0.38,3.31,9.4,0
white,5.7,0.24,17.5,60.0,167.0,0.9989,0.28,0.044,0.44,3.31,9.4,0
white,7.5,0.36,7.0,43.0,161.0,0.9938,0.23,0.036,0.32,3.04,11.0,0
white,7.5,0.36,7.0,45.0,164.0,0.9939,0.27,0.036,0.33,3.03,11.0,0
white,7.2,0.21,9.5,33.0,172.0,0.9971,0.685,0.07,0.55,3.0,9.1,1
white,6.2,0.25,1.4,35.0,105.0,0.9912,0.25,0.03,0.44,3.3,11.1,1
white,6.5,0.3,0.8,33.0,144.0,0.9936,0.19,0.043,0.39,3.42,9.1,1
white,7.1,0.41,17.8,39.0,145.0,0.9998,0.24,0.046,0.39,3.32,8.7,0
white,6.4,0.32,2.4,41.0,200.0,0.9938,0.17,0.048,0.5,3.5,9.7,1
white,7.1,0.32,10.3,66.0,272.0,0.9969,0.25,0.041,0.52,3.17,9.1,1
white,6.4,0.32,2.4,41.0,200.0,0.9938,0.17,0.048,0.5,3.5,9.7,1
white,7.1,0.41,17.8,39.0,145.0,0.9998,0.24,0.046,0.39,3.32,8.7,0
white,6.8,0.08,9.7,26.0,142.0,0.9972,0.64,0.062,0.46,3.37,8.9,0
white,8.3,0.4,7.8,38.0,194.0,0.9976,0.28,0.041,0.51,3.34,9.6,1
white,8.2,0.39,7.8,49.0,208.0,0.9976,0.27,0.039,0.51,3.31,9.5,1
white,7.2,0.38,14.3,55.0,194.0,0.9979,0.23,0.058,0.44,3.09,9.0,1
white,7.2,0.38,14.3,55.0,194.0,0.9979,0.23,0.058,0.44,3.09,9.0,1
white,7.2,0.38,14.3,55.0,194.0,0.9979,0.23,0.058,0.44,3.09,9.0,1
white,7.2,0.38,14.3,55.0,194.0,0.9979,0.23,0.058,0.44,3.09,9.0,1
white,6.8,0.32,13.2,54.0,221.0,0.9972,0.52,0.044,0.5,3.27,9.6,1
white,7.0,0.59,1.4,40.0,120.0,0.9918,0.26,0.037,0.41,3.34,11.1,1
white,6.2,0.21,15.55,28.0,159.0,0.9982,0.25,0.039,0.64,3.48,9.6,1
white,7.3,0.23,13.7,49.0,197.0,0.9985,0.32,0.05,0.46,3.2,8.7,0
white,7.7,0.26,7.8,23.0,90.0,0.9944,0.31,0.031,0.5,3.13,10.4,0
white,7.1,0.37,2.4,23.0,100.0,0.9903,0.21,0.026,0.38,3.15,11.4,1
white,6.8,0.34,2.7,64.5,218.5,0.9934,0.24,0.047,0.58,3.3,9.7,1
white,6.9,0.56,11.2,40.0,142.0,0.9975,0.4,0.043,0.46,3.14,8.7,0
white,6.1,0.36,2.0,20.0,249.5,0.9923,0.18,0.038,0.79,3.37,11.3,1
white,6.8,0.27,2.1,26.0,139.0,0.99,0.21,0.03,0.61,3.16,12.6,1
white,5.8,0.27,1.4,12.0,77.0,0.9905,0.2,0.031,0.36,3.25,10.9,1
white,5.6,0.26,1.4,12.0,76.0,0.9905,0.19,0.03,0.37,3.25,10.9,1
white,5.9,0.28,4.6,40.0,199.0,0.9964,0.21,0.053,0.7,3.72,10.0,0
white,8.5,0.21,16.2,41.0,197.0,0.998,0.26,0.074,0.5,3.02,9.8,0
white,6.9,0.56,11.2,40.0,142.0,0.9975,0.4,0.043,0.46,3.14,8.7,0
white,5.8,0.44,3.5,5.0,109.0,0.9913,0.24,0.029,0.43,3.53,11.7,0
white,5.8,0.39,1.5,37.0,158.0,0.9932,0.24,0.054,0.52,3.21,9.3,1
white,6.7,0.39,1.1,45.0,147.0,0.9935,0.26,0.04,0.58,3.32,9.6,2
white,6.3,0.3,5.7,8.0,97.0,0.9927,0.35,0.035,0.41,3.27,11.0,1
white,6.3,0.3,5.7,8.0,97.0,0.9927,0.35,0.035,0.41,3.27,11.0,1
white,6.4,0.39,1.8,23.0,118.0,0.9912,0.23,0.032,0.5,3.32,11.8,1
white,5.8,0.38,0.9,3.0,75.0,0.9904,0.36,0.037,0.34,3.28,11.4,0
white,6.9,0.35,5.4,36.0,108.0,0.9939,0.115,0.048,0.42,3.32,10.2,1
white,6.9,0.4,19.45,36.0,156.0,0.9996,0.29,0.043,0.47,2.93,8.9,0
white,6.9,0.4,8.2,15.0,95.0,0.9944,0.28,0.036,0.33,3.17,10.2,0
white,7.2,0.4,13.6,66.0,231.0,0.9977,0.29,0.045,0.59,3.08,9.6,1
white,6.2,0.35,1.2,22.0,167.0,0.9912,0.24,0.038,0.48,3.1,10.6,1
white,6.9,0.4,19.45,36.0,156.0,0.9996,0.29,0.043,0.47,2.93,8.9,0
white,6.9,0.26,8.3,32.0,180.0,0.9965,0.32,0.053,0.51,3.25,9.2,1
white,5.4,0.07,7.0,36.0,147.0,0.9944,0.59,0.045,0.57,3.34,9.7,1
white,6.9,0.26,8.3,32.0,180.0,0.9965,0.32,0.053,0.51,3.25,9.2,1
white,5.2,0.07,7.0,33.0,147.0,0.9944,0.6,0.044,0.58,3.33,9.7,0
white,5.8,0.26,13.1,44.0,148.0,0.9972,0.25,0.051,0.38,3.29,9.3,0
white,6.6,0.3,5.1,30.0,123.0,0.9949,0.58,0.057,0.38,3.24,9.0,0
white,7.0,0.54,10.7,59.0,234.0,0.9966,0.29,0.046,0.61,3.05,9.5,0
white,6.6,0.41,8.9,51.0,169.0,0.9954,0.19,0.046,0.57,3.14,9.8,1
white,6.7,0.41,9.1,50.0,166.0,0.9954,0.2,0.044,0.58,3.14,9.8,1
white,7.7,0.4,1.1,9.0,60.0,0.9915,0.26,0.042,0.5,2.89,10.6,0
white,6.8,0.34,1.2,14.0,67.0,0.9919,0.32,0.044,0.47,3.05,10.6,0
white,7.0,0.49,4.7,17.0,105.0,0.9916,0.3,0.036,0.68,3.26,12.4,1
white,7.0,0.36,2.8,22.0,112.0,0.99,0.24,0.034,0.38,3.19,12.6,2
white,6.1,0.58,5.0,36.0,114.0,0.9909,0.31,0.039,0.6,3.3,12.3,2
white,6.8,0.37,5.1,46.0,201.0,0.9938,0.44,0.047,0.65,3.08,10.5,0
white,6.7,0.3,15.6,51.0,196.0,0.9982,0.34,0.054,0.49,3.19,9.3,0
white,7.1,0.24,15.4,46.0,198.0,0.9988,0.35,0.055,0.49,3.12,8.8,0
white,7.3,0.25,7.2,47.0,180.0,0.9961,0.32,0.056,0.47,3.08,8.8,0
white,6.5,0.33,15.7,51.0,190.0,0.9978,0.28,0.053,0.51,3.22,9.7,1
white,7.2,0.39,14.2,49.0,192.0,0.9979,0.23,0.058,0.48,2.98,9.0,1
white,7.2,0.39,14.2,49.0,192.0,0.9979,0.23,0.058,0.48,2.98,9.0,1
white,7.2,0.39,14.2,49.0,192.0,0.9979,0.23,0.058,0.48,2.98,9.0,1
white,7.2,0.39,14.2,49.0,192.0,0.9979,0.23,0.058,0.48,2.98,9.0,1
white,5.9,0.31,5.8,53.0,155.0,0.9945,0.15,0.041,0.46,3.52,10.5,1
white,7.4,0.42,19.8,53.0,195.0,1.0,0.28,0.066,0.44,2.96,9.1,0
white,6.2,0.22,7.3,26.0,157.0,0.9957,0.28,0.041,0.64,3.44,9.8,1
white,9.1,0.38,1.6,34.0,182.0,0.9968,0.59,0.066,0.38,3.23,8.5,0
