fixed acidity,citric acid,residual sugar,free sulfur dioxide,total sulfur dioxide,density,volatile acidity,chlorides,sulphates,pH,alcohol,quality_label,type
12.5,0.49,2.4,5.0,27.0,0.9999,0.56,0.064,0.87,3.08,10.9,0,red
11.8,0.52,1.8,6.0,10.0,0.9968,0.26,0.071,0.72,3.2,10.2,1,red
8.1,0.0,3.3,26.0,61.0,1.00025,0.87,0.096,0.72,3.6,9.8,0,red
7.9,0.46,3.6,15.0,37.0,0.9973,0.35,0.078,0.86,3.35,12.8,2,red
6.9,0.04,3.0,7.0,27.0,0.9987,0.54,0.077,0.91,3.69,9.4,1,red
11.5,0.51,4.0,4.0,23.0,0.9996,0.18,0.104,0.97,3.28,10.1,1,red
7.9,0.06,4.0,27.0,61.0,0.9965,0.545,0.087,0.67,3.36,10.7,1,red
11.5,0.51,4.0,4.0,23.0,0.9996,0.18,0.104,0.97,3.28,10.1,1,red
10.9,0.58,4.0,17.0,65.0,0.99935,0.37,0.071,0.78,3.22,10.1,0,red
8.4,0.2,2.4,10.0,38.0,0.99735,0.715,0.076,0.64,3.31,9.4,0,red
7.9,0.06,4.0,27.0,61.0,0.9965,0.545,0.087,0.67,3.36,10.7,1,red
6.9,0.04,3.0,7.0,27.0,0.9987,0.54,0.077,0.91,3.69,9.4,1,red
11.5,0.51,4.0,4.0,23.0,0.9996,0.18,0.104,0.97,3.28,10.1,1,red
11.4,0.44,3.6,6.0,19.0,0.9986,0.26,0.071,0.82,3.12,9.3,1,red
7.6,0.12,3.0,12.0,53.0,0.9971,0.52,0.067,0.57,3.36,9.1,0,red
9.9,0.07,3.4,32.0,71.0,1.00015,0.59,0.102,0.71,3.31,9.8,0,red
9.9,0.07,3.4,32.0,71.0,1.00015,0.59,0.102,0.71,3.31,9.8,0,red
12.0,0.55,2.0,25.0,49.0,0.9997,0.45,0.073,0.76,3.1,10.3,1,red
7.5,0.12,3.0,29.0,53.0,0.9967,0.4,0.092,0.7,3.37,10.3,1,red
8.7,0.09,2.5,20.0,49.0,0.9976,0.52,0.091,0.86,3.34,10.6,1,red
11.6,0.53,3.3,33.0,98.0,1.001,0.42,0.105,0.95,3.2,9.2,0,red
8.7,0.09,2.5,20.0,49.0,0.9976,0.52,0.091,0.86,3.34,10.6,1,red
10.4,0.23,2.7,18.0,48.0,0.9994,0.55,0.091,0.64,3.22,10.3,1,red
6.9,0.25,2.4,5.0,16.0,0.9964,0.36,0.098,0.6,3.41,10.1,1,red
13.3,0.52,3.2,17.0,53.0,1.0014,0.34,0.094,0.81,3.05,9.5,1,red
10.8,0.46,2.5,5.0,27.0,1.0001,0.5,0.073,0.64,3.05,9.5,0,red
10.6,0.37,2.6,26.0,70.0,0.9981,0.83,0.086,0.52,3.16,9.9,0,red
7.1,0.06,2.0,8.0,29.0,0.99855,0.63,0.083,0.73,3.67,9.6,0,red
7.2,0.02,2.3,5.0,31.0,0.9993,0.65,0.094,0.8,3.67,9.7,0,red
6.9,0.06,2.1,8.0,33.0,0.99845,0.67,0.08,0.71,3.68,9.6,0,red
7.5,0.06,2.6,20.0,44.0,0.9965,0.53,0.086,0.59,3.38,10.7,1,red
11.1,0.48,1.5,7.0,15.0,0.9973,0.18,0.068,0.64,3.22,10.1,1,red
8.3,0.12,2.6,12.0,28.0,0.9994,0.705,0.092,0.72,3.51,10.0,0,red
8.4,0.6,2.1,12.0,90.0,0.9973,0.65,0.112,0.52,3.2,9.2,0,red
10.3,0.48,2.5,6.0,25.0,0.9998,0.53,0.063,0.59,3.12,9.3,1,red
7.6,0.32,2.2,7.0,54.0,0.9966,0.62,0.082,0.52,3.36,9.4,0,red
7.4,0.38,1.7,9.0,30.0,0.9968,0.29,0.062,0.53,3.41,9.5,1,red
10.3,0.48,2.5,6.0,25.0,0.9998,0.53,0.063,0.59,3.12,9.3,1,red
7.9,0.24,2.0,15.0,105.0,0.996,0.53,0.072,0.54,3.27,9.4,1,red
9.0,0.31,2.8,19.0,98.0,0.99815,0.46,0.093,0.63,3.32,9.5,1,red
8.6,0.3,3.0,30.0,135.0,0.9976,0.47,0.076,0.53,3.3,9.4,0,red
7.4,0.29,2.6,26.0,72.0,0.99645,0.36,0.087,0.68,3.39,11.0,0,red
7.1,0.29,2.5,20.0,53.0,0.9962,0.35,0.096,0.65,3.42,11.0,1,red
9.6,0.23,3.4,37.0,92.0,0.9996,0.56,0.102,0.65,3.3,10.1,0,red
9.6,0.12,2.9,30.0,74.0,0.99865,0.77,0.082,0.64,3.3,10.4,1,red
9.8,0.39,3.2,21.0,59.0,0.9989,0.66,0.083,0.71,3.37,11.5,1,red
9.6,0.12,2.9,30.0,74.0,0.99865,0.77,0.082,0.64,3.3,10.4,1,red
9.8,0.39,3.2,21.0,59.0,0.9989,0.66,0.083,0.71,3.37,11.5,1,red
9.3,0.26,3.4,25.0,87.0,0.99975,0.61,0.09,0.62,3.24,9.7,0,red
7.8,0.05,2.3,6.0,18.0,0.99735,0.62,0.079,0.63,3.29,9.3,0,red
10.3,0.42,2.8,35.0,73.0,0.999,0.59,0.09,0.7,3.28,9.5,1,red
11.6,0.66,3.65,6.0,14.0,0.9978,0.53,0.121,0.74,3.05,11.5,1,red
13.4,0.62,2.6,6.0,21.0,1.0002,0.27,0.082,0.67,3.16,9.7,1,red
10.7,0.39,2.0,7.0,15.0,0.9981,0.46,0.061,0.62,3.18,9.5,0,red
10.2,0.64,2.9,10.0,41.0,0.998,0.36,0.122,0.66,3.23,12.5,1,red
10.2,0.64,2.9,10.0,41.0,0.998,0.36,0.122,0.66,3.23,12.5,1,red
8.0,0.28,3.2,21.0,114.0,0.9973,0.58,0.066,0.54,3.22,9.4,1,red
8.4,0.08,2.1,16.0,44.0,0.9958,0.56,0.105,0.52,3.13,11.0,0,red
7.9,0.01,2.5,17.0,38.0,0.9963,0.65,0.078,0.74,3.34,11.7,1,red
11.9,0.53,3.4,7.0,21.0,0.9992,0.695,0.128,0.84,3.17,12.2,1,red
